0 TextAsset Base
 1 string m_Name = "逆転アルちゃんダイアログ-法廷1"
 1 string m_Script = "﻿ID,キャラクター,所属,セリフ <se:効果音名>　<speed:>=タイプ速度(デフォ0.08)　<t秒数>=一時停止　<effect1>=フラッシュ　<effect2>=揺れ大　<effect3>=揺れ小　<color:#RRGGBB>=赤色　<center></center>=中央揃え,背景,キャラ画像,BGM,表情アニメ,フキダシ他 1=異議あり青　2=異議ありピンク　3=待った青　4=待ったピンク　5=くらいなさい　6=強制突き付けモード　7=驚きシーンの1　8=驚きシーンの〆　9=無罪　10=有罪　11=ペナルティ,会話後の暗転1　明転2　暗転して次のシーンへ3　ゲームオーバー4,証言/尋問開始 1 2,証言中=1 尋問中=2,自動ジャンプID-1,ゆさぶるジャンプID-1,つきつける失敗ID-1,つきつける成功ID-1,尋問始まり1と終わり2,条件未達成で飛ばすskipX 解除フラグclearX,突き付け正解証拠品,アイテム表示 名前で表示 endで終了,アイテム入手 ItemX,口パクしない,選択肢　文|ID-1+文|ID-1+文|ID-1,スチル表示\r\n
1,,,,法廷全景,,,FALSE,0,0,0,0,0,0,0,0,0,,,,,FALSE,,\r\n
2,,,,木槌1,,,FALSE,0,0,0,0,0,0,0,0,0,,,,,FALSE,,\r\n
3,ｻｲﾊﾞﾝﾁｮ,,これより、<t0.3>伊草　ハルカの法廷を開廷します。,裁判長席,裁判長-通常,開廷,FALSE,0,0,0,0,0,0,0,0,0,,,,,FALSE,,\r\n
4,アル,便利屋６８,………………。,弁護席,アル-法廷-汗,,FALSE,0,0,0,0,0,0,0,0,0,,,,,TRUE,,\r\n
5,ｻｲﾊﾞﾝﾁｮ,,あなたは、<t0.3>確か便利屋６８の……。,裁判長席,裁判長-驚き,,FALSE,0,0,0,0,0,0,0,0,0,,,,,FALSE,,\r\n
6,アル,便利屋６８,<speed:0.15>陸八魔　アル……<t0.3>です。,弁護席,アル-法廷-通常,,FALSE,0,0,0,0,0,0,0,0,0,,,,,FALSE,,\r\n
7,ｻｲﾊﾞﾝﾁｮ,,どうしてそのようなゴロツキが<br>弁護席に立っているのですかな？,裁判長席,裁判長-真剣,,FALSE,0,0,0,0,0,0,0,0,0,,,,,FALSE,,\r\n
8,アル,便利屋６８,<se:疑問><speed:0.15>ゴ、<t0.3>ゴロツキ……。,弁護席,アル-法廷-汗,,FALSE,0,0,0,0,0,0,0,0,0,,,,,TRUE,,\r\n
9,カヨコ,便利屋６８,<se:ツッコミ><effect3>社長、<t0.2>落ち着いて！　<t0.5>今はれっきとした弁護士！　<br><t0.5>その資格もちゃんとあるでしょ？,弁護席横,カヨコ-法廷-真剣こっち見,,FALSE,0,0,0,0,0,0,0,0,0,,,,,FALSE,,\r\n
10,アル,便利屋６８,……えっと、<t0.5><se:残念>そうだったかしら？,弁護席横,カヨコ-法廷-真剣こっち見,,FALSE,0,0,0,0,0,0,0,0,0,,,,,TRUE,,\r\n
11,カヨコ,便利屋６８,はぁ……<t0.5>大事なものは全て<t0.2><se:気付き><color:#ff8888>≪法廷記録≫</color>にファイルされてるの。,弁護席横,カヨコ-法廷-呆れこっち見,,FALSE,0,0,0,0,0,0,0,0,0,,,,,FALSE,,\r\n
12,カヨコ,便利屋６８,右下から<color:#ff8888>≪法廷記録≫</color>を開いて、<t0.3>その資格を示すものを選んで<br>Enterで<color:#ff8888>つきつける</color>。<t0.5>やってみて。,弁護席横,カヨコ-法廷-真剣こっち見,,FALSE,0,0,0,0,0,0,0,0,0,,,,,FALSE,,\r\n
13,アル,便利屋６８,（右下から≪法廷記録≫を開いて、<t0.3>証拠品を選んで<br>Enterでつきつける……<t0.5>ね。<t0.5>やってみようじゃない）,弁護席横,カヨコ-法廷-真剣こっち見,,FALSE,0,0,0,0,0,0,0,0,0,,,,,TRUE,,\r\n
14,アル,便利屋６８,今の私にはこの場に立つ資格があります。<t0.5><br>それを示すものは……,弁護席,アル-法廷-通常,,FALSE,6,0,0,0,0,0,14,19,0,,弁護士バッジ,,,FALSE,,\r\n
15,アル,便利屋６８,<speed:0.15>……ええっと。,弁護席,アル-法廷-突き付け,,FALSE,0,0,0,0,0,0,0,0,0,,,,,FALSE,,\r\n
16,カヨコ,便利屋６８,社長、<t0.3>先生から貰ってたでしょ？<br><t0.5>まさか付けてきてないなんてことは……。,弁護席横,カヨコ-法廷-呆れこっち見,,FALSE,0,0,0,0,0,0,0,0,0,,,,,FALSE,,\r\n
17,アル,便利屋６８,も、<t0.3><se:ツッコミ><effect3>モチロン付けてきてるわよ！,弁護席横,カヨコ-法廷-呆れこっち見,,FALSE,0,0,0,0,0,0,0,0,0,,,,,TRUE,,\r\n
18,カヨコ,便利屋６８,じゃあ早くそれを出してよね、<t0.3>お願いだから。,弁護席横,カヨコ-法廷-呆れこっち見,,FALSE,0,0,0,0,0,0,0,0,0,,,,,FALSE,,\r\n
19,アル,便利屋６８,……今の私にはこの場に立つ資格があります。<t0.5><br>それを示すものは……,弁護席,アル-法廷-通常,,FALSE,6,0,0,0,0,0,14,19,0,,弁護士バッジ,,,FALSE,,\r\n
20,ｻｲﾊﾞﾝﾁｮ,,……ほう、<t0.3>弁護士バッジ。<br><t0.5>どうやら正式なもののようですね。,裁判長席,裁判長-驚き,,FALSE,0,0,0,0,0,0,0,0,0,,,弁護士バッジ,,FALSE,,\r\n
21,,,,裁判長席,裁判長-頷きアニメ,,TRUE,0,0,0,0,0,0,0,0,0,,,,,FALSE,,\r\n
22,ｻｲﾊﾞﾝﾁｮ,,弁護能力に疑問は残りますが、<t0.3>資格としては問題ないでしょう。,裁判長席,裁判長-通常,,FALSE,0,0,0,0,0,0,0,0,0,,,,,FALSE,,\r\n
23,アル,便利屋６８,（ふぅ……<t0.3>何とかなったわね。<t0.5>ありがとう先生！）,弁護席,アル-法廷-不敵,,FALSE,0,0,0,0,0,0,0,0,0,,,end,,FALSE,,\r\n
24,？？？,,<effect1><se:疑問>あらあら……<t0.3>そんなものまで準備して、<br><t0.3>随分と調子のいいことですね。,弁護席,アル-法廷-不敵,無音,FALSE,0,0,0,0,0,0,0,0,0,,,,,TRUE,,\r\n
25,アコ,風紀委員会,<speed:0.15>……陸八魔　アルさん？,検事席,アコ-法廷-不敵,,FALSE,0,0,0,0,0,0,0,0,0,,,,,FALSE,,\r\n
26,アル,便利屋６８,（……風紀委員の……<t0.3><effect3>天雨　アコ……！）,弁護席,アル-法廷-通常,,FALSE,0,0,0,0,0,0,0,0,0,,,,,FALSE,,\r\n
27,アコ,風紀委員会,ゲヘナ生の後始末はゲヘナの風紀委員が<br>責任をもって行わせていただきます。,検事席,アコ-法廷-通常,開廷,FALSE,0,0,0,0,0,0,0,0,0,,,,,FALSE,,\r\n
28,アコ,風紀委員会,<speed:0.1><effect1><se:疑問>例えあなた達のようなチンピラでもね。,検事席,アコ-法廷-不敵,,FALSE,0,0,0,0,0,0,0,0,0,,,,,FALSE,,\r\n
29,アル,便利屋６８,<speed:0.15>チ、<t0.3>チンピラ……。,弁護席,アル-法廷-汗,,FALSE,0,0,0,0,0,0,0,0,0,,,,,TRUE,,\r\n
30,ｻｲﾊﾞﾝﾁｮ,,それで、<t0.3>双方とも準備は完了しておりますかな？,裁判長席,裁判長-通常,,FALSE,0,0,0,0,0,0,0,0,0,,,,,FALSE,,\r\n
31,アコ,風紀委員会,モチロン、<t0.3>検察側は既に準備を完了しております。<br><t0.5><effect1><se:疑問><speed:0.12>被告人の有罪を証明する……<t0.3>ね。,検事席,アコ-法廷-不敵,,FALSE,0,0,0,0,0,0,0,0,0,,,,,FALSE,,\r\n
32,アル,便利屋６８,<effect1><se:気付き>（！）,弁護席,アル-法廷-通常,,FALSE,0,0,0,0,0,0,0,0,0,,,,,FALSE,,\r\n
33,カヨコ,便利屋６８,<se:ツッコミ><effect3>社長、<t0.3>あんなハッタリに負けちゃダメ！,弁護席横,カヨコ-法廷-真剣こっち見,,FALSE,0,0,0,0,0,0,0,0,0,,,,,FALSE,,\r\n
34,ｻｲﾊﾞﾝﾁｮ,,弁護人、<t0.3>準備はいかがですかな？,裁判長席,裁判長-真剣,,FALSE,0,0,0,0,0,0,0,0,0,,,,,FALSE,,\r\n
35,アル,便利屋６８,<effect3>え、<t0.2><effect3>あ、<t0.2><effect3>と、<t0.2><effect3>トーゼンよ！,弁護席,アル-法廷-不敵,,FALSE,0,0,0,0,0,0,0,0,0,,,,,FALSE,,\r\n
36,,,,裁判長席,裁判長-首振りアニメ,,TRUE,0,0,0,0,0,0,0,0,0,,,,,FALSE,,\r\n
37,ｻｲﾊﾞﾝﾁｮ,,……いささか不安の募る答えですね。,裁判長席,裁判長-真剣,,FALSE,0,0,0,0,0,0,0,0,0,,,,,FALSE,,\r\n
38,ｻｲﾊﾞﾝﾁｮ,,では弁護人。<t0.5>本当に準備が完了しているかどうか、<t0.3><br>簡単な質問で試させていただきます。,裁判長席,裁判長-真剣,,FALSE,0,0,0,0,0,0,0,0,0,,,,,FALSE,,\r\n
39,アル,便利屋６８,<effect1><se:気付き>……！,弁護席,アル-法廷-通常,,FALSE,0,0,0,0,0,0,0,0,0,,,,,TRUE,,\r\n
