0 TextAsset Base
 1 string m_Name = "逆転아루ちゃんダイアログ-대합실1"
 1 string m_Script = "﻿ID,キャラクター,所属,セリフ <se:効果音名>　<speed:>=タイプ速度(デフォ0.08)　<t秒数>=一時停止　<effect1>=フラッシュ　<effect2>=揺れ大　<effect3>=揺れ小　<color:#RRGGBB>=赤色　<center></center>=中央揃え,背景,キャラ画像,BGM,表情アニメ,フキダシ 1=異議あり青　2=異議ありピンク　3=待った青　4=待ったピンク　5=くらいなさい,会話後の暗転 1=フェードインアウト　3=シーンの終わり用,自動ジャンプID-1,条件未達成で飛ばす/解除フラグ,突き付け正解証拠品,アイテム表示,アイテム入手,突き付け正解ID-1,突き付け失敗ID-1\r\n
1,아루,흥신소 68,<effect3>（으으…….<t0.5>긴장되는 걸……）,대합실,,休憩室,FALSE,0,0,0,,,,,0,0\r\n
2,카요코,흥신소 68,……괜찮아? <t0.5>안색이 <t0.3>뭐라고 할까…….、 대합실,카요코-心配,,FALSE,0,0,0,,,,,0,0\r\n
3,무츠키,흥신소 68,<effect1><se:疑問>완전 파랗게 질렸잖아! <t0.5>아하하!,대합실,무츠키-쿠후후~,,FALSE,0,0,0,,,,,0,0\r\n
4,아루,흥신소 68,아하하……<t0.3><effect3><se:ツッコミ>가 아니라고!<t0.5><br>어째서 내가<t0.2><effect1><se:疑問><color:#ff7777>"변호"</color>같은 걸…….,대합실,,,FALSE,0,0,0,,,,,0,0\r\n
5,하루카,흥신소 68,죄죄죄죄죄죄죄<effect2><se:ツッコミ>죄송합니다<effect2><se:ツッコミ>죄송합니다<effect2><se:衝撃>죄송합니다<br>저 때문에!,대합실,하루카-焦り,,FALSE,0,0,0,,,,,0,0\r\n
6,하루카,흥신소 68,<effect3><se:衝撃>죽는 편이 나을까요? <t0.3><effect3><se:ツッコミ>죽는 게 낫겠죠? <effect3><se:衝撃>그렇겠죠?<br><effect2><se:ツッコミ>죽을게요、 <effect2><se:衝撃>지금 죽을게요!,대합실,하루카-焦り,,FALSE,0,0,0,,,,,0,0\r\n
7,아루,흥신소 68,<effect3>자、 <t0.2>잠깐! <t0.5>진정해 하루카!,대합실,,,FALSE,0,0,0,,,,,0,0\r\n
8,하루카,흥신소 68,<speed:0.1>그、 <t0.5>그치만 저 같은 거 때문에 아루 님이 재판에…….,대합실,하루카-考える,,FALSE,0,0,0,,,,,0,0\r\n
9,무츠키,흥신소 68,<effect1><se:気付き>유죄가 나온다면 바로 교정국행이겠네~!,대합실,무츠키-通常,,FALSE,0,0,0,,,,,0,0\r\n
10,아루,흥신소 68,자、 <t0.3><effect3><se:ツッコミ>잠깐! 그렇게 말하면 내가 피고인인 것 같잖아!<br><t0.5><effect3>난 아무 짓도 안 했다고!,대합실,,,FALSE,0,0,0,,,,,0,0\r\n
11,무츠키,흥신소 68,<effect1>우와! <t0.5>그 대사도 완전 범인 같아!,대합실,무츠키-쿠후후~,,FALSE,0,0,0,,,,,0,0\r\n
12,카요코,흥신소 68,<speed:0.1>……사장、 <t0.4>제대로 알고 있어? <t0.5>이번 재판에 대해서.,대합실,카요코-心配,,FALSE,0,0,0,,,,,0,0\r\n
13,아루,흥신소 68,다、 <t0.3><effect3>당연하지!,대합실,,,FALSE,0,1,0,,,,,0,0\r\n
14,아루,흥신소 68,<speed:0.1>（……그래、 <t0.3>모든 것은 그 의뢰가 발단이었다）,暗転,,,FALSE,0,0,0,,,,,0,0\r\n
15,아루,흥신소 68,<speed:0.1>（그건、 <t0.3>특정 시간에 지정된 장소에서<br>어떤 인물의 경호를 해줬으면 한다는 것이었다）,暗転,,,FALSE,0,0,0,,,,,0,0\r\n
16,아루,흥신소 68,<speed:0.1>（별로 보수가 크지는 않았지만、 <br><t0.3>주머니 사정이 좋지 않을 때라 받아들였다）,暗転,,,FALSE,0,0,0,,,,,0,0\r\n
17,아루,흥신소 68,<speed:0.1>（확실히 거절했다면、 <br><t0.3>이렇게 되진 않았을 텐데……）,暗転,,,FALSE,0,1,0,,,,,0,0\r\n
18,관리인,,<effect3>곧 개정합니다! <t0.5><effect3>바로 입정해주세요!,대합실,係官,,FALSE,0,0,0,,,,,0,0\r\n
19,아루,흥신소 68,<effect3>에엣!? <t0.5>벌써 시간이!,대합실,,,FALSE,0,0,0,,,,,0,0\r\n
20,카요코,흥신소 68,각오를 다지는 수밖에 없겠어. <t0.5>가자、 <t0.3>사장.,대합실,카요코-通常,,FALSE,0,0,0,,,,,0,0\r\n
21,아루,흥신소 68,<speed:0.1>아、 <t0.3><se:残念>아직 마음의 준비가……!,대합실,,,FALSE,0,0,0,,,,,0,0\r\n
22,하루카,흥신소 68,<se:衝撃><effect3>아루 님! <t0.8>저、 <t0.3>아루 님을 <t0.3><se:衝撃><effect3>믿고 있으니까요!,대합실,하루카-焦り,,FALSE,0,0,0,,,,,0,0\r\n
23,아루,흥신소 68,<se:気付き><effect1>!,대합실,,,FALSE,0,0,0,,,,,0,0\r\n
24,아루,흥신소 68,（……그래. <t0.5>이번 사건은 폭탄 테러.<t0.5><br>그리고 그 용의자로 하루카가 체포당했다）,대합실,,,FALSE,0,0,0,,,,,0,0\r\n
25,아루,흥신소 68,（하지만<t0.3>하루카는 절대로 그런 짓을 하지 않았어!）,대합실,,,FALSE,0,0,0,,,,,0,0\r\n
26,아루,흥신소 68,（장소를 가리지 않고 폭탄을 설치하긴 하지만<t0.3><br>무의미한 폭파는 하지 않는 아이인걸!）,대합실,,,FALSE,0,0,0,,,,,0,0\r\n
27,아루,흥신소 68,후훗、 <speed:0.1><t0.3><se:疑問><effect1>우리는 큰 배를 탄 거나 마찬가지니까 맡겨만 둬!,대합실,,,FALSE,0,0,0,,,,,0,0\r\n
28,아루,흥신소 68,（변호사 구할 돈이 없어서라고는<br>절대 말할 수 없어……）,대합실,,,FALSE,0,0,0,,,,,0,0\r\n
29,카요코,흥신소 68,<se:呆れ>한 배를 탄 거겠지.,대합실,카요코-呆れ,,FALSE,0,0,0,,,,,0,0\r\n
30,하루카,흥신소 68,저、 <t0.3><effect3><se:ツッコミ>저기!<t0.5><br>긴급할 때에는 이걸 써 주세요!,대합실,하루카-えへへ草,,FALSE,0,0,0,,,,,35,30\r\n
31,아루,흥신소 68,이건……<t0.5><se:疑問>오리 장난감?,대합실,,,FALSE,0,0,0,,,하루카의 개조 폭탄,,0,0\r\n
32,하루카,흥신소 68,폭탄이에요.,대합실,하루카-えへへ草,,FALSE,0,0,0,,,,,0,0\r\n
33,아루,흥신소 68,<se:衝撃><effect2>폭탄!?,대합실,,,FALSE,0,0,0,,,,,0,0\r\n
34,하루카,흥신소 68,그날 <t0.3>사실은 현장에서 폭탄 하나를 해제했어요.,대합실,하루카-考える,,FALSE,0,0,0,,,,,0,0\r\n
