0 TextAsset Base
 1 string m_Name = "逆転アルちゃんダイアログ-待合室2"
 1 string m_Script = "﻿ID,キャラクター,所属,セリフ <se:効果音名>　<speed:>=タイプ速度(デフォ0.08)　<t秒数>=一時停止　<effect1>=フラッシュ　<effect2>=揺れ大　<effect3>=揺れ小　<color:#RRGGBB>=赤色　<center></center>=中央揃え,背景,キャラ画像,BGM,表情アニメ,フキダシ 1=異議あり青　2=異議ありピンク　3=待った青　4=待ったピンク　5=くらいなさい　6=強制突き付けモード,会話後の暗転 1=フェードインアウト　3=シーンの終わり用　4=エンドロール用,自動ジャンプID-1,条件未達成で飛ばす/解除フラグ,突き付け正解証拠品,アイテム表示,アイテム入手,突き付け正解ID-1,突き付け失敗ID-1\r\n
1,아루,흥신소 68,（<effect3>후우…….<t0.5>무사히 끝나서 다행이야…….）,待合室,,勝訴,FALSE,0,0,0,,,,,0,0\r\n
2,카요코,흥신소 68,사장、 <t0.3>축하해.,待合室,カヨコ-笑顔,,FALSE,0,0,0,,,,,0,0\r\n
3,아루,흥신소 68,<effect3>카요코 과장……!　<br><t0.5>네가 없었으면 분명 졌을 거야……!,待合室,,,FALSE,0,0,0,,,,,0,0\r\n
4,카요코,흥신소 68,그렇지 않아.,待合室,カヨコ-笑顔,,FALSE,0,0,0,,,,,0,0\r\n
5,카요코,흥신소 68,아코의 공격에 맞서서、 <t0.3><br>똑 부러지게 대응하는 모습、 <t0.3>멋있었어.,待合室,カヨコ-笑顔,,FALSE,0,0,0,,,,,0,0\r\n
6,아루,흥신소 68,카、 <t0.3><effect3>카요코오오오……!,待合室,,,FALSE,0,0,0,,,,,0,0\r\n
7,무츠키,흥신소 68,<effect1><se:気付き>앗!　<t0.3>있다있다ー!　<t0.5><br>어라、 <t0.3><se:疑問>아루쨩 벌써 우는 거야ー?,待合室,ムツキ-驚き,,FALSE,0,0,0,,,,,0,0\r\n
8,아루,흥신소 68,누、 <t0.3><effect3><se:ツッコミ>누가 울었다고 그래!,待合室,,,FALSE,0,0,0,,,,,0,0\r\n
9,아루,흥신소 68,그보다 너、 <t0.3><effect3><se:ツッコミ>지금까지 어디 있었던 거야!,待合室,,,FALSE,0,0,0,,,,,0,0\r\n
10,무츠키,흥신소 68,어디서라니、 <t0.3>방청석에서 쭉 보고 있었는데?,待合室,ムツキ-通常,,FALSE,0,0,0,,,,,0,0\r\n
11,아루,흥신소 68,엣?,待合室,,,FALSE,0,0,0,,,,,0,0\r\n
12,무츠키,흥신소 68,변호석에서 눈 뒤집히던 아루쨩의 얼굴、<br> 재미있었어ー!　<t0.5><effect3>아하핫!,待合室,ムツキ-無邪気,,FALSE,0,0,0,,,,,0,0\r\n
13,아루,흥신소 68,너、 <t0.3>넌、 <t0.3><br><se:ツッコミ><effect3>왜 하나도 안 도와준 거야ー!,待合室,,,FALSE,0,0,0,,,,,0,0\r\n
14,무츠키,흥신소 68,쿠후후、 <t0.3>그야、 <t0.3>그 쪽이 재미있으니까ー?,待合室,ムツキ-くふふ,,FALSE,0,0,0,,,,,0,0\r\n
15,아루,흥신소 68,<se:残念>우우우…….,待合室,,,FALSE,0,0,0,,,,,0,0\r\n
16,카요코,흥신소 68,어라、 <t0.3>그러고 보니 가장 중요한 하루카는?,待合室,カヨコ-通常,,FALSE,0,0,0,,,,,0,0\r\n
17,하루카,흥신소 68,<se:疑問><effect1>주、 <t0.3>죽을게요…….,待合室,ハルカ-焦り,,FALSE,0,0,0,,,,,0,0\r\n
18,아루,흥신소 68,<se:ツッコミ><effect3>어째서 네가 그런 얼굴 하고 있는 거야!,待合室,,,FALSE,0,0,0,,,,,0,0\r\n
19,하루카,흥신소 68,여、 <t0.3><effect3>역시 저는、 <t0.3><effect3>폐만 끼치고、 <t0.3><br><effect2><se:衝撃>저 때문에 아루 님이 이런 일을 당하시고!,待合室,ハルカ-焦り,,FALSE,0,0,0,,,,,0,0\r\n
20,하루카,흥신소 68,<effect2><se:ツッコミ>그러니까 죽을게요!　<t0.5><effect2><se:衝撃>죽여주세요!,待合室,ハルカ-焦り,,FALSE,0,0,0,,,,,0,0\r\n
21,아루,흥신소 68,<se:ツッコミ><effect2>아니아니!　<br><t0.5>하루카가 무죄라서、 <t0.3>나도 안심했는걸!,待合室,,,FALSE,0,0,0,,,,,0,0\r\n
22,하루카,흥신소 68,하지만、 <t0.3>저는 이번 재판에서、 <t0.3><br>아무것도 못 했는데요…….,待合室,ハルカ-考える,,FALSE,0,0,0,,,,,0,0\r\n
23,하루카,흥신소 68,그저 피고인석에서 몇 번이고 죽어야겠다 하면서<br>앉아 있던 게 다였는데…….,待合室,ハルカ-通常,,FALSE,0,0,0,,,,,0,0\r\n
