0 TextAsset Base
 1 string m_Name = "逆転아루ちゃんダイアログ-法廷1"
 1 string m_Script = "﻿ID,キャラクター,所属,セリフ <se:効果音名>　<speed:>=タイプ速度(デフォ0.08)　<t秒数>=一時停止　<effect1>=フラッシュ　<effect2>=揺れ大　<effect3>=揺れ小　<color:#RRGGBB>=赤色　<center></center>=中央揃え,背景,キャラ画像,BGM,表情アニメ,フキダシ他 1=異議あり青　2=異議ありピンク　3=待った青　4=待ったピンク　5=くらいなさい　6=強制突き付けモード　7=驚きシーンの1　8=驚きシーンの〆　9=無罪　10=有罪　11=ペナルティ,会話後の暗転1　明転2　暗転して次のシーンへ3　ゲームオーバー4,証言/尋問開始 1 2,証言中=1 尋問中=2,自動ジャンプID-1,ゆさぶるジャンプID-1,つきつける失敗ID-1,つきつける成功ID-1,尋問始まり1と終わり2,条件未達成で飛ばすskipX 解除フラグclearX,突き付け正解証拠品,アイテム表示 名前で表示 endで終了,アイテム入手 ItemX,口パクしない,選択肢　文|ID-1+文|ID-1+文|ID-1,スチル表示\r\n
1,,,,法廷全景,,,FALSE,0,0,0,0,0,0,0,0,0,,,,,FALSE,,\r\n
2,,,,木槌1,,,FALSE,0,0,0,0,0,0,0,0,0,,,,,FALSE,,\r\n
3,재판관,,지금부터、 <t0.3>피고인 이구사 하루카에 대한 재판을 시작하겠습니다.,裁判長席,裁判長-通常,開廷,FALSE,0,0,0,0,0,0,0,0,0,,,,,FALSE,,\r\n
4,아루,흥신소 68,……………….,弁護席,アル-法廷-汗,,FALSE,0,0,0,0,0,0,0,0,0,,,,,TRUE,,\r\n
5,재판관,,당신은、 <t0.3>분명 흥신소 68의……,裁判長席,裁判長-驚き,,FALSE,0,0,0,0,0,0,0,0,0,,,,,FALSE,,\r\n
6,아루,흥신소 68,<speed:0.15>리쿠하치마 아루……<t0.3>입니다.,弁護席,アル-法廷-通常,,FALSE,0,0,0,0,0,0,0,0,0,,,,,FALSE,,\r\n
7,재판관,,어째서 당신 같은 불량배가<br>변호석에 서 있는 겁니까?,裁判長席,裁判長-真剣,,FALSE,0,0,0,0,0,0,0,0,0,,,,,FALSE,,\r\n
8,아루,흥신소 68,<se:疑問><speed:0.15>부、 <t0.3>불량배…….,弁護席,アル-法廷-汗,,FALSE,0,0,0,0,0,0,0,0,0,,,,,TRUE,,\r\n
9,카요코,흥신소 68,<se:ツッコミ><effect3>사장、 <t0.2>침착해! <t0.5>지금 사장은 누가 뭐래도 변호인이야! <br><t0.5>그런 자각은 당연히 있는 거지?,弁護席横,カヨコ-法廷-真剣こっち見,,FALSE,0,0,0,0,0,0,0,0,0,,,,,FALSE,,\r\n
10,아루,흥신소 68,……어엇、 <t0.5><se:残念>그랬었나……?,弁護席横,カヨコ-法廷-真剣こっち見,,FALSE,0,0,0,0,0,0,0,0,0,,,,,TRUE,,\r\n
11,카요코,흥신소 68,하아……<t0.5>중요한 정보는 모두 <t0.2><se:気付き><color:#ff8888>≪법정기록≫</color>에 정리되어 있어.,弁護席横,カヨコ-法廷-呆れこっち見,,FALSE,0,0,0,0,0,0,0,0,0,,,,,FALSE,,\r\n
12,카요코,흥신소 68,오른쪽 아래 <color:#ff8888>≪법정기록≫</color>을 열고、 <t0.3>자격을 보여주는 물건을 선택해서 Enter로 <color:#ff8888>제시하는 거야</color>.<t0.5>한번 해 봐.,弁護席横,カヨコ-法廷-真剣こっち見,,FALSE,0,0,0,0,0,0,0,0,0,,,,,FALSE,,\r\n
13,아루,흥신소 68,（오른쪽 아래에 있는 ≪법정기록≫을 열고、 <t0.3>증거품을 골라서 <br>Enter로 제시한다……<t0.5>라는 거지. <t0.5>한번 해 보자）,弁護席横,カヨコ-法廷-真剣こっち見,,FALSE,0,0,0,0,0,0,0,0,0,,,,,TRUE,,\r\n
14,아루,흥신소 68,지금의 저는 이 자리에 설 자격이 있습니다.<t0.5><br>그걸 증명하는 것은……,弁護席,アル-法廷-通常,,FALSE,6,0,0,0,0,0,14,19,0,,변호사 배지,,,FALSE,,\r\n
15,아루,흥신소 68,<speed:0.15>그러니까…….,弁護席,アル-法廷-突き付け,,FALSE,0,0,0,0,0,0,0,0,0,,,,,FALSE,,\r\n
16,카요코,흥신소 68,사장、 <t0.3>선생님한테 받았잖아?<br><t0.5>설마 깜빡한 건…….,弁護席横,カヨコ-法廷-呆れこっち見,,FALSE,0,0,0,0,0,0,0,0,0,,,,,FALSE,,\r\n
17,아루,흥신소 68,무、 <t0.3><se:ツッコミ><effect3>물론 가지고 왔지!,弁護席横,カヨコ-法廷-呆れこっち見,,FALSE,0,0,0,0,0,0,0,0,0,,,,,TRUE,,\r\n
18,카요코,흥신소 68,그럼 빨리 그걸 꺼내 줘、 <t0.3>부탁이니까.,弁護席横,カヨコ-法廷-呆れこっち見,,FALSE,0,0,0,0,0,0,0,0,0,,,,,FALSE,,\r\n
19,아루,흥신소 68,……지금의 저는 이 자리에 설 자격이 있습니다.<t0.5><br>그걸 증명하는 것은……,弁護席,アル-法廷-通常,,FALSE,6,0,0,0,0,0,14,19,0,,변호사 배지,,,FALSE,,\r\n
20,재판관,,……호오、 <t0.3>변호사 배지.<br><t0.5>아무래도 정식으로 받으신 것 같군요.,裁判長席,裁判長-驚き,,FALSE,0,0,0,0,0,0,0,0,0,,,변호사 배지,,FALSE,,\r\n
21,,,,裁判長席,裁判長-頷きアニメ,,TRUE,0,0,0,0,0,0,0,0,0,,,,,FALSE,,\r\n
22,재판관,,변호 능력에 대해서는 의문이 남아 있습니다만、 <t0.3>자격에는 확실히 문제가 없군요.,裁判長席,裁判長-通常,,FALSE,0,0,0,0,0,0,0,0,0,,,,,FALSE,,\r\n
23,아루,흥신소 68,（후우……<t0.3>어떻게든 됐구나. <t0.5>고마워、 선생님!）,弁護席,アル-法廷-不敵,,FALSE,0,0,0,0,0,0,0,0,0,,,end,,FALSE,,\r\n
24,???,,<effect1><se:疑問>어머나……<t0.3>그런 것까지 준비하다니、 <br><t0.3>상당히 놀라운데요.,弁護席,アル-法廷-不敵,無音,FALSE,0,0,0,0,0,0,0,0,0,,,,,TRUE,,\r\n
25,아코,선도부,<speed:0.15>……리쿠하치마 아루 씨?,検事席,アコ-法廷-不敵,,FALSE,0,0,0,0,0,0,0,0,0,,,,,FALSE,,\r\n
26,아루,흥신소 68,（……선도부의……<t0.3><effect3>아마우 아코……!）,弁護席,アル-法廷-通常,,FALSE,0,0,0,0,0,0,0,0,0,,,,,FALSE,,\r\n
27,아코,선도부,게헨나 학생의 뒤치다꺼리는<br>게헨나 선도부가 책임지고 처리하겠습니다.,検事席,アコ-法廷-通常,開廷,FALSE,0,0,0,0,0,0,0,0,0,,,,,FALSE,,\r\n
28,아코,선도부,<speed:0.1><effect1><se:疑問>아무리 당신 같은 양아치들이라도 말이죠.,検事席,アコ-法廷-不敵,,FALSE,0,0,0,0,0,0,0,0,0,,,,,FALSE,,\r\n
29,아루,흥신소 68,<speed:0.15>야、 <t0.3>양아치…….,弁護席,アル-法廷-汗,,FALSE,0,0,0,0,0,0,0,0,0,,,,,TRUE,,\r\n
30,재판관,,그래서、 <t0.3>양측의 준비는 모두 끝났습니까?,裁判長席,裁判長-通常,,FALSE,0,0,0,0,0,0,0,0,0,,,,,FALSE,,\r\n
31,아코,선도부,물론、 <t0.3>검사 측은 진작에 모든 준비가 끝났습니다.<br><t0.5><effect1><se:疑問><speed:0.12>피고인의 유죄를 증명할 준비……<t0.3>말이죠.,検事席,アコ-法廷-不敵,,FALSE,0,0,0,0,0,0,0,0,0,,,,,FALSE,,\r\n
32,아루,흥신소 68,<effect1><se:気付き>（!）,弁護席,アル-法廷-通常,,FALSE,0,0,0,0,0,0,0,0,0,,,,,FALSE,,\r\n
33,카요코,흥신소 68,<se:ツッコミ><effect3>사장、 <t0.3>저런 허세에 넘어가면 안 돼!,弁護席横,カヨコ-法廷-真剣こっち見,,FALSE,0,0,0,0,0,0,0,0,0,,,,,FALSE,,\r\n
34,재판관,,변호인、 <t0.3>준비는 모두 마치셨습니까?,裁判長席,裁判長-真剣,,FALSE,0,0,0,0,0,0,0,0,0,,,,,FALSE,,\r\n
35,아루,흥신소 68,<effect3>어、 <t0.2><effect3>음、 <t0.2><effect3>그、 <t0.2><effect3>당연하지!,弁護席,アル-法廷-不敵,,FALSE,0,0,0,0,0,0,0,0,0,,,,,FALSE,,\r\n
36,,,,裁判長席,裁判長-首振りアニメ,,TRUE,0,0,0,0,0,0,0,0,0,,,,,FALSE,,\r\n
37,재판관,,……여전히 불안이 가시지 않는 대답이군요.,裁判長席,裁判長-真剣,,FALSE,0,0,0,0,0,0,0,0,0,,,,,FALSE,,\r\n
38,재판관,,그럼 변호인. <t0.5>정말로 준비가 되셨는지、 <t0.3><br>간단한 질문으로 시험해 보겠습니다.,裁判長席,裁判長-真剣,,FALSE,0,0,0,0,0,0,0,0,0,,,,,FALSE,,\r\n
39,아루,흥신소 68,<effect1><se:気付き>……!,弁護席,アル-法廷-通常,,FALSE,0,0,0,0,0,0,0,0,0,,,,,TRUE,,\r\n
